porsche992rgt3;Race;RACE;bathurst
Realistic;Clear;19C;track;19C;Winds;SE;14km/h;RH;94%;Fog;0%;Rain;0%
;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing; R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;122;2:05.681;23.415;49.295;1:20.558;24.912;1:12.362;23.755;--;--;--;--;42.062;--;100.0;0.0;0.0;--;--;7:06:48;--;--;PIT;25.6 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LF O M I;63C;71C;78C;;RF I M O;81C;75C;69C;
;Tread;96.54%;91.45%;88.21%;;Tread;88.17%;89.44%;93.03%;
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LR O M I;61C;67C;71C;;RR I M O;75C;72C;68C;
;Tread;95.20%;91.61%;91.08%;;Tread;89.29%;89.13%;91.53%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;123;2:49.688;25.498;28.230;20.058;11.978;26.468;24.652;--;--;--;--;88.915;--;100.0;0.0;0.0;--;--;7:03:59;--;--;OUT 44.9 / 22.6;26.1 °C;
;124;3:58.848;25.498;27.155;32.457;22.861;1:06.835;24.652;1;3:58.848;3:58.848;1.894;87.022;1.894;100.0;0.0;0.0;--;--;7:00:00;202.0;503.9;;26.1 °C;
;125;2:51.565;53.866;50.774;39.835;17.859;1:06.835;50.645;2;6:50.413;3:25.206;2.537;84.485;2.215;100.0;0.0;0.0;--;--;6:57:09;201.0;473.9;;26.1 °C;
;126;2:06.475;53.866;50.774;39.835;17.859;1:06.997;45.276;3;8:56.888;2:58.963;3.048;81.436;2.493;100.0;0.0;0.0;--;--;6:55:02;182.0;417.2;;26.1 °C;
;127;4:04.848;57.992;44.755;39.324;18.445;1:00.232;39.471;4;13:01.736;3:15.434;2.390;79.046;2.467;100.0;0.0;0.0;--;--;6:50:57;180.0;385.7;;26.1 °C;
;128;2:07.626;23.342;24.922;18.535;11.394;26.070;22.932;5;15:09.362;3:01.872;3.087;75.960;2.591;100.0;0.0;0.0;--;--;6:48:50;148.0;308.1;;26.7 °C;
;129;2:20.907;29.180;27.222;18.857;11.559;26.209;22.715;6;17:30.269;2:55.045;2.694;73.265;2.608;100.0;0.0;0.0;--;--;6:46:29;146.0;329.0;;27.2 °C;
;130;4:04.571;24.357;38.857;39.050;22.096;1:06.283;24.108;--;--;--;--;71.233;--;100.0;0.0;0.0;--;--;6:42:23;--;--;PIT;27.8 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LF O M I;44C;46C;50C;;RF I M O;51C;48C;46C;
;Tread;99.42%;98.29%;97.82%;;Tread;97.88%;98.16%;99.01%;
;Cold Pressure;158 kPa; ; ;;Cold Pressure;158 kPa; ; ;
;LR O M I;41C;42C;44C;;RR I M O;45C;43C;43C;
;Tread;99.22%;98.50%;98.45%;;Tread;98.30%;98.27%;98.77%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;131;4:29.398;51.465;52.324;36.695;19.637;1:06.283;38.305;--;--;--;--;94.649;--;100.0;0.0;0.0;--;--;6:37:55;--;--;OUT 60.3 / 34.4;22.8 °C;
;132;2:27.306;24.068;28.417;22.041;13.952;29.524;27.321;1;2:27.306;2:27.306;3.189;91.460;3.189;100.0;0.0;0.0;--;--;6:35:27;166.0;353.7;;21.1 °C;
;133;2:24.910;24.833;28.495;21.953;14.220;28.602;25.410;2;4:52.216;2:26.108;3.246;88.213;3.217;100.0;0.0;0.0;--;--;6:33:02;173.0;405.4;;20.6 °C;
;134;2:28.926;26.246;30.277;23.755;14.014;29.098;26.959;3;7:21.142;2:27.047;3.095;85.119;3.177;100.0;0.0;0.0;--;--;6:30:33;166.0;388.8;;20.0 °C;
;135;2:27.869;25.051;28.154;23.224;13.613;28.737;26.104;4;9:49.011;2:27.253;3.181;81.939;3.178;100.0;0.0;0.0;--;--;6:28:06;164.0;402.2;;20.0 °C;
;136;2:28.587;25.051;28.851;23.149;13.964;28.966;26.581;5;12:17.598;2:27.520;3.162;78.776;3.175;100.0;0.0;0.0;--;--;6:25:37;162.0;439.3;;20.0 °C;
;137;2:30.099;25.417;28.439;23.149;14.043;28.786;26.709;6;14:47.697;2:27.950;3.164;75.612;3.173;100.0;0.0;0.0;--;--;6:23:07;155.0;419.5;;20.0 °C;
;138;2:30.380;25.481;28.433;23.203;13.781;28.981;27.752;7;17:18.077;2:28.297;3.147;72.464;3.169;100.0;0.0;0.0;--;--;6:20:36;154.0;413.2;;20.6 °C;
;139;3:25.734;1:05.289;39.112;22.695;13.564;32.963;26.947;8;20:43.810;2:35.476;2.959;69.506;3.143;100.0;0.0;0.0;--;--;6:17:11;151.0;402.6;;20.6 °C;
;140;4:06.300;28.139;32.480;42.101;21.488;1:10.285;28.236;9;24:50.111;2:45.568;1.660;67.846;2.978;100.0;0.0;0.0;--;--;6:13:04;150.0;355.5;;20.6 °C;
;141;4:51.011;1:03.061;47.855;39.518;20.190;1:01.784;48.305;10;29:41.121;2:58.112;1.444;66.402;2.825;100.0;0.0;0.0;--;--;6:08:13;135.0;210.1;;20.6 °C;
;142;2:32.446;25.847;29.425;23.351;14.419;29.230;28.027;11;32:13.567;2:55.779;3.017;63.385;2.842;100.0;0.0;0.0;--;--;6:05:41;117.0;223.3;;20.6 °C;
;143;2:31.276;28.303;30.077;24.245;14.541;28.976;32.599;12;34:44.843;2:53.737;3.070;60.315;2.861;100.0;0.0;0.0;--;--;6:03:10;115.0;219.7;;20.6 °C;
;144;2:28.042;25.237;28.231;22.463;13.498;28.652;26.153;13;37:12.885;2:51.760;3.193;57.123;2.887;100.0;0.0;0.0;--;--;6:00:41;114.0;228.2;;20.0 °C;
;145;2:28.165;24.987;28.494;22.661;13.421;28.612;26.198;14;39:41.050;2:50.075;3.271;53.851;2.914;100.0;0.0;0.0;--;--;5:58:13;123.0;291.0;;20.0 °C;
;146;2:25.786;25.382;29.735;24.077;15.413;28.861;27.154;15;42:06.836;2:48.456;3.304;50.547;2.940;100.0;0.0;0.0;--;--;5:55:47;142.0;400.4;;19.4 °C;
;147;2:26.912;26.258;29.564;25.327;14.596;29.456;28.162;16;44:33.748;2:47.109;3.236;47.310;2.959;100.0;0.0;0.0;--;--;5:53:21;142.0;409.8;;19.4 °C;
;148;2:25.614;53.533;54.515;46.915;22.785;38.439;37.578;17;46:59.362;2:45.845;3.241;44.071;2.975;100.0;0.0;0.0;--;--;5:50:55;142.0;417.9;;19.4 °C;
;149;2:25.518;53.533;54.515;46.915;22.785;38.439;37.578;18;49:24.880;2:44.716;3.295;40.777;2.993;100.0;0.0;0.0;--;--;5:48:30;142.0;424.1;;19.4 °C;
;150;2:26.239;53.533;54.515;46.915;22.785;38.439;37.578;19;51:51.119;2:43.743;3.233;37.543;3.006;100.0;0.0;0.0;--;--;5:46:03;141.0;423.0;;19.4 °C;
;151;2:27.178;25.501;28.134;23.127;14.011;28.885;26.156;20;54:18.297;2:42.915;3.246;34.297;3.018;100.0;0.0;0.0;--;--;5:43:37;141.0;424.6;;19.4 °C;
;152;2:25.823;25.185;28.266;22.709;13.558;29.210;26.036;21;56:44.120;2:42.101;3.258;31.038;3.029;100.0;0.0;0.0;--;--;5:41:10;139.0;421.9;;19.4 °C;
;153;2:26.106;25.227;28.594;22.785;13.685;28.520;26.022;22;59:10.226;2:41.374;3.265;27.774;3.040;100.0;0.0;0.0;--;--;5:38:44;139.0;425.9;;19.4 °C;
;154;2:28.656;25.262;29.461;25.244;17.976;28.756;25.869;--;--;--;--;24.643;--;100.0;0.0;0.0;--;--;5:36:15;--;--;PIT;19.4 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;165 kPa; ; ;;Cold Pressure;165 kPa; ; ;
;LF O M I;65C;70C;77C;;RF I M O;78C;71C;68C;
;Tread;99.46%;89.02%;88.73%;;Tread;88.67%;89.11%;98.67%;
;Cold Pressure;161 kPa; ; ;;Cold Pressure;161 kPa; ; ;
;LR O M I;68C;70C;76C;;RR I M O;78C;72C;70C;
;Tread;95.86%;88.89%;89.22%;;Tread;88.28%;87.97%;94.21%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;155;3:56.902;53.533;51.703;44.504;22.659;1:06.988;50.332;--;--;--;--;93.778;--;100.0;0.0;0.0;--;--;5:32:19;--;--;OUT 54.2 / 31.1;20.0 °C;
;156;4:45.671;34.605;48.000;42.393;20.780;1:05.950;27.991;1;4:45.671;4:45.671;3.227;90.553;3.227;100.0;0.0;0.0;--;--;5:27:33;135.0;345.6;;19.4 °C;
;157;4:34.406;25.014;28.239;22.274;13.430;44.584;26.534;2;9:20.078;4:40.039;3.227;87.331;3.227;100.0;0.0;0.0;--;--;5:22:59;134.0;345.7;;20.0 °C;
;158;2:28.446;25.032;29.409;23.746;14.419;29.273;38.860;3;11:48.524;3:56.175;3.227;84.102;3.227;100.0;0.0;0.0;--;--;5:20:30;108.0;265.0;;20.6 °C;
;159;2:28.155;53.188;52.468;45.562;20.738;35.771;35.173;4;14:16.679;3:34.170;3.227;80.873;3.227;100.0;0.0;0.0;--;--;5:18:02;107.0;265.0;;20.0 °C;
;160;2:25.719;53.188;52.468;45.562;20.738;35.771;35.173;5;16:42.398;3:20.480;3.227;77.648;3.227;100.0;0.0;0.0;--;--;5:15:36;105.0;261.8;;20.0 °C;
;161;2:25.191;53.188;52.468;45.562;20.738;35.771;35.173;6;19:07.588;3:11.265;3.227;74.412;3.227;100.0;0.0;0.0;--;--;5:13:12;104.0;261.8;;21.1 °C;
;162;2:25.896;53.188;52.468;45.562;20.738;35.771;35.173;7;21:33.485;3:04.784;3.227;71.193;3.227;100.0;0.0;0.0;--;--;5:10:45;126.0;336.0;;21.1 °C;
;163;2:24.606;25.387;28.736;23.560;13.592;28.980;26.578;8;23:58.091;2:59.761;3.227;67.958;3.227;100.0;0.0;0.0;--;--;5:08:21;126.0;339.2;;21.1 °C;
;164;2:24.384;25.556;28.419;22.924;13.455;28.595;26.373;9;26:22.475;2:55.831;3.227;64.740;3.227;100.0;0.0;0.0;--;--;5:05:56;125.0;339.2;;21.1 °C;
;165;2:24.658;25.462;28.074;22.477;13.480;28.733;26.235;10;28:47.133;2:52.713;3.227;61.515;3.227;100.0;0.0;0.0;--;--;5:03:32;125.0;342.4;;21.7 °C;
;166;2:25.192;25.420;28.380;22.515;13.624;28.621;26.381;11;31:12.325;2:50.211;3.227;58.278;3.227;100.0;0.0;0.0;--;--;5:01:07;124.0;342.4;;21.7 °C;
;167;2:25.488;24.930;28.558;22.853;13.813;28.416;25.593;12;33:37.813;2:48.151;3.227;55.061;3.227;100.0;0.0;0.0;--;--;4:58:41;123.0;342.4;;21.7 °C;
;168;2:24.008;53.188;52.468;45.562;20.738;35.771;35.173;13;36:01.821;2:46.294;3.227;51.832;3.227;100.0;0.0;0.0;--;--;4:56:17;122.0;342.4;;21.7 °C;
;169;2:23.542;53.188;52.468;45.562;20.738;35.771;35.173;14;38:25.363;2:44.669;3.227;48.599;3.227;100.0;0.0;0.0;--;--;4:53:53;121.0;342.4;;21.7 °C;
;170;2:26.342;37.992;38.296;34.286;18.000;46.472;41.667;15;40:51.705;2:43.447;3.227;45.378;3.227;100.0;0.0;0.0;--;--;4:51:27;120.0;342.4;;21.7 °C;
;171;2:23.911;37.992;38.296;34.286;18.000;46.472;41.667;16;43:15.616;2:42.226;3.227;42.149;3.227;100.0;0.0;0.0;--;--;4:49:04;119.0;342.4;;20.6 °C;
;172;2:23.350;37.992;38.296;34.286;18.000;46.472;41.667;17;45:38.966;2:41.116;3.227;38.923;3.227;100.0;0.0;0.0;--;--;4:46:40;118.0;345.6;;20.0 °C;
;173;2:23.223;53.188;52.468;45.562;20.738;35.771;35.173;18;48:02.188;2:40.122;3.227;35.695;3.227;100.0;0.0;0.0;--;--;4:44:17;118.0;345.6;;19.4 °C;
;174;2:21.440;53.188;52.468;45.562;20.738;35.771;35.173;19;50:23.629;2:39.138;3.227;32.476;3.227;100.0;0.0;0.0;--;--;4:41:55;117.0;345.7;;19.4 °C;
;175;2:20.559;53.188;52.468;45.562;20.738;35.771;35.173;20;52:44.188;2:38.209;3.227;29.249;3.227;100.0;0.0;0.0;--;--;4:39:34;116.0;345.7;;19.4 °C;
;176;2:20.881;53.188;52.468;45.562;20.738;35.771;35.173;21;55:05.069;2:37.384;3.227;26.010;3.227;100.0;0.0;0.0;--;--;4:37:14;117.0;352.1;;19.4 °C;
;177;2:20.254;53.188;52.468;45.562;20.738;35.771;35.173;22;57:25.322;2:36.606;3.227;22.780;3.227;100.0;0.0;0.0;--;--;4:34:54;116.0;352.1;;19.4 °C;
;178;2:19.469;53.188;52.468;45.562;20.738;35.771;35.173;23;59:44.792;2:35.861;3.227;19.568;3.227;100.0;0.0;0.0;--;--;4:32:34;115.0;352.1;;19.4 °C;
;179;2:18.789;25.046;27.010;21.512;13.440;28.105;25.681;24;62:03.581;2:35.149;3.227;16.326;3.227;100.0;0.0;0.0;--;--;4:30:16;115.0;355.3;;19.4 °C;
;180;2:18.046;25.159;26.352;19.381;12.882;27.654;25.315;25;64:21.627;2:34.465;3.227;13.114;3.227;100.0;0.0;0.0;--;--;4:27:57;114.0;355.4;;20.0 °C;
;181;2:20.093;25.159;26.413;19.420;12.511;27.422;25.738;--;--;--;--;9.874;--;100.0;0.0;0.0;--;--;4:25:37;--;--;PIT;20.0 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;165 kPa; ; ;
;LF O M I;65C;70C;77C;;RF I M O;78C;71C;68C;
;Tread;99.46%;89.02%;88.73%;;Tread;88.67%;89.11%;98.67%;
;Cold Pressure;161 kPa; ; ;;Cold Pressure;161 kPa; ; ;
;LR O M I;68C;70C;76C;;RR I M O;78C;72C;70C;
;Tread;95.86%;88.89%;89.22%;;Tread;88.28%;87.97%;94.21%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;165 kPa; ; ;
;LF O M I;65C;70C;77C;;RF I M O;78C;71C;68C;
;Tread;99.46%;89.02%;88.73%;;Tread;88.67%;89.11%;98.67%;
;Cold Pressure;161 kPa; ; ;;Cold Pressure;161 kPa; ; ;
;LR O M I;68C;70C;76C;;RR I M O;78C;72C;70C;
;Tread;95.86%;88.89%;89.22%;;Tread;88.28%;87.97%;94.21%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;182;3:11.942;42.707;45.384;38.843;18.913;58.815;1:10.237;--;--;--;--;93.773;--;100.0;0.0;0.0;--;--;4:22:26;--;--;OUT 64.6 / 42.0;20.6 °C;
;183;2:09.918;37.992;38.296;34.286;18.000;46.472;41.667;1;2:09.918;2:09.918;3.227;90.548;3.227;100.0;0.0;0.0;--;--;4:20:15;112.0;271.4;;21.1 °C;
;184;2:06.523;53.188;52.468;45.562;20.738;35.771;35.173;2;4:16.441;2:08.220;3.227;87.327;3.227;100.0;0.0;0.0;--;--;4:18:09;113.0;277.9;;22.2 °C;
;185;2:06.792;23.800;25.494;19.029;12.415;26.561;23.395;3;6:23.233;2:07.744;3.227;84.093;3.227;100.0;0.0;0.0;--;--;4:16:02;114.0;284.3;;23.3 °C;
;186;2:05.976;23.811;24.910;18.852;11.869;26.303;24.231;4;8:29.208;2:07.302;3.227;80.873;3.227;100.0;0.0;0.0;--;--;4:13:55;116.0;294.0;;23.9 °C;
;187;2:04.691;23.666;24.734;18.908;11.582;26.175;23.057;5;10:33.900;2:06.780;3.227;77.656;3.227;100.0;0.0;0.0;--;--;4:11:52;118.0;303.7;;24.4 °C;
;188;2:15.133;23.666;24.734;18.738;12.130;26.197;26.563;6;12:49.033;2:08.172;3.227;74.412;3.227;100.0;0.0;0.0;--;--;4:09:36;118.0;307.0;;25.0 °C;
;189;2:15.678;23.666;24.734;18.738;12.130;26.197;26.563;--;--;--;--;71.185;--;100.0;0.0;0.0;--;--;4:07:21;--;--;PIT;25.6 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;165 kPa; ; ;
;LF O M I;65C;70C;77C;;RF I M O;78C;71C;68C;
;Tread;99.46%;89.02%;88.73%;;Tread;88.67%;89.11%;98.67%;
;Cold Pressure;161 kPa; ; ;;Cold Pressure;161 kPa; ; ;
;LR O M I;68C;70C;76C;;RR I M O;78C;72C;70C;
;Tread;95.86%;88.89%;89.22%;;Tread;88.28%;87.97%;94.21%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;190;3:04.353;23.279;25.818;37.985;19.473;1:05.886;51.584;--;--;--;--;93.779;--;100.0;0.0;0.0;--;--;4:04:16;--;--;OUT 35.0 / 12.8;26.7 °C;
;191;4:40.414;53.313;50.203;42.553;19.649;1:05.700;50.068;1;4:40.414;4:40.414;3.227;90.548;3.227;100.0;0.0;0.0;--;--;3:59:36;115.0;281.1;;26.1 °C;
;192;4:29.501;52.124;51.032;42.062;18.592;1:04.315;47.661;2;9:09.915;4:34.958;3.227;87.323;3.227;100.0;0.0;0.0;--;--;3:55:07;110.0;268.2;;26.1 °C;
;193;4:01.702;48.193;40.315;36.233;17.016;1:01.914;40.569;3;13:11.617;4:23.872;3.227;84.098;3.227;100.0;0.0;0.0;--;--;3:51:04;85.0;190.8;;26.1 °C;
;194;2:11.963;23.636;25.249;22.842;12.478;26.424;37.362;4;15:23.580;3:50.895;3.227;80.872;3.227;100.0;0.0;0.0;--;--;3:48:52;72.0;152.1;;26.1 °C;
;195;2:06.270;23.500;24.329;18.115;11.361;26.143;22.534;5;17:29.849;3:29.970;3.227;77.652;3.227;100.0;0.0;0.0;--;--;3:46:46;71.0;152.1;;26.1 °C;
;196;2:06.046;23.721;25.189;1:09.369;29.263;1:01.102;40.538;6;19:35.895;3:15.982;3.227;74.411;3.227;100.0;0.0;0.0;--;--;3:44:40;70.0;152.1;;26.1 °C;
;197;2:04.077;23.187;24.581;18.561;11.277;26.226;22.247;7;21:39.972;3:05.710;3.227;71.188;3.227;100.0;0.0;0.0;--;--;3:42:37;85.0;203.7;;26.1 °C;
;198;2:11.700;23.314;24.522;18.366;11.436;26.330;22.724;8;23:51.673;2:58.959;3.227;67.974;3.227;100.0;0.0;0.0;--;--;3:40:24;104.0;268.2;;26.7 °C;
;199;3:57.924;23.314;26.698;20.023;11.893;32.155;24.430;9;27:49.597;3:05.511;3.227;64.738;3.227;100.0;0.0;0.0;--;--;3:36:27;103.0;268.2;;26.7 °C;
;200;4:43.037;50.826;51.419;34.386;18.407;1:04.758;39.740;10;32:32.634;3:15.263;3.227;61.506;3.227;100.0;0.0;0.0;--;--;3:31:43;101.0;265.0;;25.6 °C;
;201;4:24.193;55.580;46.828;42.077;19.583;58.814;50.337;11;36:56.828;3:21.530;3.227;58.283;3.227;100.0;0.0;0.0;--;--;3:27:19;81.0;203.7;;25.0 °C;
;202;2:06.842;23.683;25.251;19.406;14.849;26.672;32.550;12;39:03.669;3:15.306;3.227;55.066;3.227;100.0;0.0;0.0;--;--;3:25:13;65.0;155.3;;25.0 °C;
;203;2:04.888;23.224;24.183;18.319;11.781;26.133;22.485;13;41:08.557;3:09.889;3.227;51.834;3.227;100.0;0.0;0.0;--;--;3:23:08;64.0;155.3;;25.6 °C;
;204;2:03.384;23.168;24.055;17.697;11.272;26.178;22.491;14;43:11.941;3:05.139;3.227;48.609;3.227;100.0;0.0;0.0;--;--;3:21:04;64.0;158.5;;26.1 °C;
;205;2:03.986;23.264;25.204;17.712;11.267;26.649;22.540;15;45:15.928;3:01.062;3.227;45.381;3.227;100.0;0.0;0.0;--;--;3:19:00;74.0;194.0;;26.1 °C;
;206;2:03.142;23.133;24.114;17.796;11.431;26.014;22.442;16;47:19.069;2:57.442;3.227;42.155;3.227;100.0;0.0;0.0;--;--;3:16:57;94.0;261.8;;26.7 °C;
;207;2:03.426;23.063;24.205;17.822;11.271;25.919;22.219;17;49:22.496;2:54.264;3.227;38.933;3.227;100.0;0.0;0.0;--;--;3:14:54;94.0;265.0;;26.7 °C;
;208;2:03.082;22.952;23.955;17.678;11.093;25.932;22.018;18;51:25.578;2:51.421;3.227;35.705;3.227;100.0;0.0;0.0;--;--;3:12:50;94.0;268.2;;27.2 °C;
;209;2:02.834;22.895;23.789;18.003;11.630;26.070;22.057;19;53:28.412;2:48.864;3.227;32.475;3.227;100.0;0.0;0.0;--;--;3:10:48;93.0;268.2;;27.2 °C;
;210;2:02.950;22.887;23.761;17.604;11.011;25.843;22.065;20;55:31.362;2:46.568;3.227;29.238;3.227;100.0;0.0;0.0;--;--;3:08:45;92.0;268.2;;27.2 °C;
;211;2:02.863;22.830;23.659;17.523;10.771;25.894;22.828;21;57:34.225;2:44.487;3.227;26.006;3.227;100.0;0.0;0.0;--;--;3:06:42;90.0;268.2;;26.7 °C;
;212;2:02.755;22.965;23.814;17.408;10.783;25.894;21.885;22;59:36.980;2:42.590;3.227;22.788;3.227;100.0;0.0;0.0;--;--;3:04:39;90.0;268.2;;26.7 °C;
;213;2:02.807;22.790;23.672;17.585;10.865;25.767;21.918;23;61:39.787;2:40.860;3.227;19.552;3.227;100.0;0.0;0.0;--;--;3:02:37;88.0;265.0;;26.1 °C;
;214;2:04.100;22.799;23.659;17.396;10.814;25.657;22.431;24;63:43.887;2:39.329;3.227;16.337;3.227;100.0;0.0;0.0;--;--;3:00:32;88.0;268.2;;25.6 °C;
;215;2:02.835;22.924;23.723;17.523;11.151;26.186;21.838;25;65:46.722;2:37.869;3.227;13.108;3.227;100.0;0.0;0.0;--;--;2:58:29;86.0;265.0;;25.6 °C;
;216;2:04.238;22.865;23.691;17.407;10.825;25.719;21.807;26;67:50.960;2:36.575;3.227;9.872;3.227;100.0;0.0;0.0;--;--;2:56:25;86.0;268.2;;25.0 °C;
;217;2:20.069;22.903;24.038;17.693;10.879;25.828;21.927;--;--;--;--;93.782;--;100.0;0.0;0.0;--;--;2:54:05;--;--;OUT 21.8 / 0.0;25.0 °C;
;218;2:02.734;22.880;23.820;17.564;10.805;25.747;21.974;1;2:02.734;2:02.734;3.227;90.546;3.227;100.0;0.0;0.0;--;--;2:52:02;83.0;181.1;;25.6 °C;
;219;2:03.697;22.722;23.764;17.725;11.773;26.828;21.985;2;4:06.431;2:03.215;3.227;87.326;3.227;100.0;0.0;0.0;--;--;2:49:58;83.0;181.1;;26.1 °C;
;220;2:02.211;22.986;23.725;17.593;10.915;25.820;22.486;3;6:08.641;2:02.880;3.227;84.110;3.227;100.0;0.0;0.0;--;--;2:47:56;82.0;181.1;;26.1 °C;
;221;2:03.402;22.910;24.175;17.640;10.920;25.918;21.849;--;--;--;--;80.871;--;100.0;0.0;0.0;--;--;2:45:54;--;--;PIT;26.1 °C;

SETUP path : Garage 61 - Momentum Racing\bathurst\992_GT3_FC_Bathurst_R_v6.sto

TIRES
;Cold Pressure;158 kPa; ; ;;Cold Pressure;165 kPa; ; ;
;LF O M I;65C;70C;77C;;RF I M O;78C;71C;68C;
;Tread;99.46%;89.02%;88.73%;;Tread;88.67%;89.11%;98.67%;
;Cold Pressure;161 kPa; ; ;;Cold Pressure;161 kPa; ; ;
;LR O M I;68C;70C;76C;;RR I M O;78C;72C;70C;
;Tread;95.86%;88.89%;89.22%;;Tread;88.28%;87.97%;94.21%;

;Lap;Laptime;S1;S2;S3;S4;S5;S6;Stint;Total Time;Average laptime;L/lap;Tank (L);Average L/lap;ERS;Cons.;MGU;F Wing;R Wing;Time Rem.;Laps Rem.;Fuel to add;PIT;Trk temp.;
;222;3:11.966;53.371;50.640;42.510;19.887;33.716;31.491;--;--;--;--;93.783;--;100.0;0.0;0.0;--;--;2:42:41;--;--;OUT 68.1 / 46.0;26.7 °C;
;223;2:05.490;53.371;50.640;42.510;19.887;33.716;31.491;1;2:05.490;2:05.490;3.227;90.564;3.227;100.0;0.0;0.0;--;--;2:40:36;79.0;164.9;;26.7 °C;
;224;2:04.699;53.371;50.640;42.510;19.887;33.716;31.491;2;4:10.189;2:05.095;3.227;87.330;3.227;100.0;0.0;0.0;--;--;2:38:31;78.0;165.0;;26.7 °C;
;225;2:04.479;23.448;24.652;18.488;11.630;26.690;24.225;3;6:14.669;2:04.890;3.227;84.093;3.227;100.0;0.0;0.0;--;--;2:36:26;76.0;161.8;;26.1 °C;
;226;2:05.167;22.896;23.987;17.697;11.054;26.049;22.211;4;8:19.836;2:04.959;3.227;80.880;3.227;100.0;0.0;0.0;--;--;2:34:22;75.0;161.7;;25.6 °C;
;227;3:25.061;24.311;26.191;34.484;18.559;1:01.698;48.033;5;11:44.897;2:20.979;3.227;77.645;3.227;100.0;0.0;0.0;--;--;2:30:57;73.0;158.5;;25.0 °C;
;228;4:27.640;23.720;25.717;19.978;12.016;26.343;22.442;6;16:12.536;2:42.089;3.227;74.418;3.227;100.0;0.0;0.0;--;--;2:26:29;71.0;155.3;;23.9 °C;
;229;4:20.924;23.720;24.277;18.116;11.196;27.210;23.920;7;20:33.461;2:56.209;3.227;71.187;3.227;100.0;0.0;0.0;--;--;2:22:08;60.0;123.0;;23.9 °C;
;230;2:06.689;23.284;24.700;18.041;11.124;26.064;22.398;8;22:40.150;2:50.019;3.227;67.967;3.227;100.0;0.0;0.0;--;--;2:20:01;47.0;84.3;;25.0 °C;
;231;2:04.710;23.100;24.093;17.628;11.034;25.997;22.158;9;24:44.861;2:44.985;3.227;64.736;3.227;100.0;0.0;0.0;--;--;2:17:56;46.0;84.3;;25.6 °C;
;232;2:03.654;23.146;24.555;17.699;11.038;25.873;22.068;10;26:48.515;2:40.851;3.227;61.506;3.227;100.0;0.0;0.0;--;--;2:15:53;46.0;87.5;;26.1 °C;
;233;2:03.303;22.955;23.975;17.546;11.022;25.850;21.974;11;28:51.818;2:37.438;3.227;58.284;3.227;100.0;0.0;0.0;--;--;2:13:50;50.0;106.9;;26.1 °C;
